source_country,target_country,project_count,total_issued_credits,total_retired_credits,project_types
European Union,Gabon,2,0.0,0.0,Unknown
Multiple (mixed),Egypt,2,0.0,0.0,Manure Biodigester; Unknown
Netherlands,South Africa,1,0.0,0.0,Unknown
United States,Ethiopia,3,0.0,0.0,Clean Water; Sustainable Agriculture
India,Kenya,3,0.0,0.0,Afforestation + Reforestation; Distributed Solar; Sustainable Agriculture
Multiple (mixed),Guinea,2,0.0,0.0,Afforestation + Reforestation; REDD+
Local/Unknown,Liberia,1,0.0,0.0,REDD+
United States,South Africa,5,0.0,0.0,Afforestation + Reforestation; Cookstove
Multiple (mixed),Nigeria,2,0.0,0.0,REDD+; Wetland
European Union,Djibouti,2,0.0,0.0,Wetland; Wind
United Kingdom,DR Congo,8,0.0,0.0,Afforestation + Reforestation; Cookstove; Energy Efficiency; REDD+
Multiple (mixed),Morocco,1,0.0,0.0,Afforestation + Reforestation
Multiple (mixed),Cameroon,2,0.0,0.0,Afforestation + Reforestation
Local/Unknown,Gabon,4,0.0,0.0,Afforestation + Reforestation; REDD+; Recycling; Unknown
United States,Botswana,1,0.0,0.0,Grassland Management
Multiple (mixed),Comoros,1,0.0,0.0,REDD+
United States,Senegal,3,0.0,0.0,REDD+; Wetland
France,Rwanda,3,0.0,0.0,Afforestation + Reforestation; Unknown
Local/Unknown,Botswana,2,0.0,0.0,REDD+; Unknown
United States,Liberia,1,0.0,0.0,Cookstove
United States,Cote d'Ivoire,1,0.0,0.0,Cookstove
United States,Togo,1,0.0,0.0,Cookstove
United States,Namibia,1,0.0,0.0,Cookstove
United States,Chad,1,0.0,0.0,Cookstove
United Kingdom,Angola,1,0.0,0.0,Centralized Solar
European Union,Senegal,1,0.0,0.0,Wetland
United Kingdom,Burundi,1,0.0,0.0,Cookstove
Multiple (mixed),Mali,2,0.0,0.0,Afforestation + Reforestation
Multiple (mixed),DR Congo,3,0.0,0.0,REDD+
United States,Madagascar,3,0.0,0.0,Cookstove; Unknown
Multiple (mixed),Gambia,1,0.0,0.0,REDD+
Local/Unknown,Gambia,1,0.0,0.0,Cookstove
United States,Sudan,1,0.0,0.0,Cookstove
European Union,Malawi,6,0.0,0.0,Brick Manufacturing; Cookstove
Australia,Uganda,1,0.0,0.0,Improved Forest Management
Local/Unknown,Tunisia,2,0.0,0.0,Centralized Solar; Renewable Energy
United Kingdom,Egypt,4,0.0,0.0,Centralized Solar; Unknown; Wind
France,Ghana,1,0.0,0.0,Unknown
United States,Nigeria,4,0.0,0.0,Clean Water; Unknown
France,Uganda,1,0.0,0.0,Unknown
United Kingdom,Tunisia,1,0.0,0.0,Renewable Energy
Australia,Zambia,2,0.0,0.0,Unknown
China,Uganda,1,0.0,0.0,Unknown
China,Tanzania,2,0.0,0.0,Clean Water; Unknown
Switzerland,Guinea,1,0.0,0.0,Afforestation + Reforestation
Local/Unknown,Cabo Verde,1,0.0,0.0,Centralized Solar
European Union,Burundi,1,0.0,0.0,Clean Water
European Union,Burkina Faso,1,0.0,0.0,Clean Water
United Kingdom,Central African Republic,3,0.0,0.0,Clean Water
Local/Unknown,Lesotho,2,0.0,0.0,Cookstove; Lighting
United States,Tanzania,1,0.0,0.0,Lighting
India,Ethiopia,1,0.0,0.0,Clean Water
France,Guinea,1,0.0,0.0,Cookstove
Switzerland,Cote d'Ivoire,1,0.0,0.0,Cookstove
France,Cameroon,1,0.0,0.0,Cookstove
United Kingdom,Botswana,1,0.0,0.0,Lighting
United States,Mozambique,2,0.0,0.0,Cookstove
Local/Unknown,Djibouti,1,0.0,0.0,Cookstove
Switzerland,Ghana,1,0.0,0.0,Cookstove
