buyer_country,african_country,project_type,project_name,proponent,issued_credits,retired_credits,project_id,project_url
Local/Unknown,Nigeria,Sustainable Agriculture,TOURBA PROJECT – IMPROVED AGRICULTURE PRACTICES IN NIGERIA,Tourba Carbon Farming Nigeria Limited,0.0,0.0,VCS5568,https://registry.verra.org/app/projectDetail/VCS/5568
Local/Unknown,Central African Republic,Afforestation + Reforestation,"Pama project, Central African Republic",FRM COMMITMENT,0.0,0.0,VCS5523,https://registry.verra.org/app/projectDetail/VCS/5523
United States,Ethiopia,Sustainable Agriculture,AfriScout Regenerative Grazing Project,AfriScout LLC,0.0,0.0,VCS5517,https://registry.verra.org/app/projectDetail/VCS/5517
United States,Uganda,Afforestation + Reforestation,Lake Victoria Watershed Agroforestry Carbon Project II,Trees for the Future Inc.,0.0,0.0,VCS5483,https://registry.verra.org/app/projectDetail/VCS/5483
India,Kenya,Sustainable Agriculture,Kenya Climate Smart Agriculture Program,OYU Green Private Limited,0.0,0.0,VCS5451,https://registry.verra.org/app/projectDetail/VCS/5451
United Kingdom,Ghana,Afforestation + Reforestation,Kwahu Landscape Restoration Project,AJA CLIMATE SOLUTIONS PTE. LTD.,0.0,0.0,VCS5432,https://registry.verra.org/app/projectDetail/VCS/5432
United States,Ghana,Afforestation + Reforestation,Project Colobus | Forest Ecosystem Restoration In Eastern Ghana,RAINFOREST COLOBUS LTD.,0.0,0.0,VCS5433,https://registry.verra.org/app/projectDetail/VCS/5433
Multiple (mixed),Guinea,REDD+,Community-Based Mangrove Conservation and Restoration in Guinea,Multiple Proponents,0.0,0.0,VCS5427,https://registry.verra.org/app/projectDetail/VCS/5427
United Kingdom,Ghana,Afforestation + Reforestation,Atebubu and Wiase Forest Landscape Restoration Project,iNovaLand Investment Ltd,0.0,0.0,VCS5404,https://registry.verra.org/app/projectDetail/VCS/5404
Local/Unknown,Liberia,REDD+,Wonegizi REDD+ Pilot Project,Fauna & Flora International,0.0,0.0,VCS5396,https://registry.verra.org/app/projectDetail/VCS/5396
Local/Unknown,Tanzania,Afforestation + Reforestation,One Acre Fund Tanzania Agroforestry Program,One Acre Tanzania Limited,0.0,0.0,VCS5384,https://registry.verra.org/app/projectDetail/VCS/5384
Local/Unknown,Egypt,Wetland,Conservation and Restoration of Mangroves in the Coastal Blue Carbon Ecosystem of Egypt,Environment Without Borders Foundation (EWBF),0.0,0.0,VCS5365,https://registry.verra.org/app/projectDetail/VCS/5365
United Kingdom,Sierra Leone,Afforestation + Reforestation,PROJECT BUFFALO | WESTERN GUINEAN LOWLAND FOREST ECOSYSTEM RESTORATION,Rainforest Builder Ltd.,0.0,0.0,VCS5351,https://registry.verra.org/app/projectDetail/VCS/5351
United States,South Africa,Afforestation + Reforestation,THE SOUTPANSBERG RESTORATION AND CONSERVATION,Few & Far LLC,0.0,0.0,VCS5345,https://registry.verra.org/app/projectDetail/VCS/5345
Local/Unknown,Nigeria,Afforestation + Reforestation,Gashaka Gumti Forest Carbon Project,Africa Nature Investors (ANI) Foundation,0.0,0.0,VCS5308,https://registry.verra.org/app/projectDetail/VCS/5308
Local/Unknown,Tanzania,Afforestation + Reforestation,The Rubeho Mountains Carbon Project,Compassionate Carbon TZ,0.0,0.0,VCS5282,https://registry.verra.org/app/projectDetail/VCS/5282
Local/Unknown,Malawi,Sustainable Agriculture,Agricultural Land Management in Malawi,Teralytic,0.0,0.0,VCS5276,https://registry.verra.org/app/projectDetail/VCS/5276
