buyer_country,african_country,project_type,project_name,proponent,issued_credits,retired_credits,project_id,project_url
Local/Unknown,South Africa,Sustainable Agriculture,Cultivating Carbon Regenerative Agriculture Project,Cultivating Carbon Proprietary Limited,0.0,0.0,VCS3633,https://registry.verra.org/app/projectDetail/VCS/3633
United States,South Africa,Afforestation + Reforestation,"Eastern Cape Restoration Project, South Africa - Makhanda","EcoPlanet Bamboo Group, LLC",0.0,0.0,VCS3627,https://registry.verra.org/app/projectDetail/VCS/3627
United States,South Africa,Afforestation + Reforestation,"Eastern Cape Restoration Project, South Africa - Somerset East","EcoPlanet Bamboo Group, LLC",0.0,0.0,VCS3628,https://registry.verra.org/app/projectDetail/VCS/3628
Local/Unknown,Tanzania,Afforestation + Reforestation,Udzungwa Corridor Reforestation,Udzungwa Corridor Limited,0.0,0.0,VCS3602,https://registry.verra.org/app/projectDetail/VCS/3602
Multiple (mixed),Mali,Afforestation + Reforestation,"Bougouni-Yanfolila Forest Project, Mali",Multiple Proponents,0.0,0.0,VCS3593,https://registry.verra.org/app/projectDetail/VCS/3593
Multiple (mixed),DR Congo,REDD+,Kokolopori Bonobo Peace Forest Grouped REDD Project,Multiple Proponents,0.0,0.0,VCS3575,https://registry.verra.org/app/projectDetail/VCS/3575
Multiple (mixed),DR Congo,REDD+,Tshopo Lomami Grouped REDD Project,Multiple Proponents,0.0,0.0,VCS3589,https://registry.verra.org/app/projectDetail/VCS/3589
Multiple (mixed),DR Congo,REDD+,Sankuru Peace Forest Grouped REDD Project,Multiple Proponents,0.0,0.0,VCS3592,https://registry.verra.org/app/projectDetail/VCS/3592
Multiple (mixed),Zambia,REDD+,ITABU REDD+ PROJECT IN ZAMBIA,Multiple Proponents,0.0,0.0,VCS3453,https://registry.verra.org/app/projectDetail/VCS/3453
United Kingdom,South Africa,Sustainable Agriculture,Portland: Regenerative Agriculture & native revegetation on degraded land,Holmstone Pty. (Ltd.),0.0,0.0,VCS3427,https://registry.verra.org/app/projectDetail/VCS/3427
Local/Unknown,Ethiopia,Afforestation + Reforestation,Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray,WeForest,0.0,0.0,VCS3429,https://registry.verra.org/app/projectDetail/VCS/3429
Local/Unknown,Togo,Afforestation + Reforestation,PlanTogo,Sequoia Plantation Togo,0.0,0.0,VCS3396,https://registry.verra.org/app/projectDetail/VCS/3396
Local/Unknown,South Africa,Grassland Management,Kruger to Canyons Rangeland Restoration Project,Conservation South Africa,0.0,0.0,VCS3397,https://registry.verra.org/app/projectDetail/VCS/3397
Local/Unknown,South Africa,Sustainable Agriculture,CNG AgriCarbon Rewards Programme 2,Climate Neutral Group.,0.0,0.0,VCS3394,https://registry.verra.org/app/projectDetail/VCS/3394
Local/Unknown,Kenya,Sustainable Agriculture,Boomitra Grassland Restoration in East Africa Through Soil Enrichment,Boomitra Inc,0.0,0.0,VCS3340,https://registry.verra.org/app/projectDetail/VCS/3340
Multiple (mixed),Kenya,Afforestation + Reforestation,Mount Kenya Regenerative Agroforestry Project,Multiple Proponents,0.0,0.0,VCS3321,https://registry.verra.org/app/projectDetail/VCS/3321
Multiple (mixed),Gambia,REDD+,CONSERVATION AND RESTORATION OF THE MANGROVE ECOSYSTEM IN THE GAMBIA THROUGH THE REDD+ MECHANISM,Multiple Proponents,0.0,0.0,VCS3223,https://registry.verra.org/app/projectDetail/VCS/3223
European Union,Nigeria,Wetland,NIGER DELTA MANGROVE PROJECT,everi GmbH,0.0,0.0,VCS3155,https://registry.verra.org/app/projectDetail/VCS/3155
Local/Unknown,Mozambique,Wetland,MOZBLUE: BUILDING AFRICA’S LARGEST MANGROVE RESTORATION PROJECT,Blue Forest Mozambique LDA,0.0,0.0,VCS3142,https://registry.verra.org/app/projectDetail/VCS/3142
United States,Rwanda,Afforestation + Reforestation,Rwanda Riparian Restoration Project,"EcoPlanet Bamboo Group, LLC",0.0,0.0,VCS3072,https://registry.verra.org/app/projectDetail/VCS/3072
United States,Ghana,Afforestation + Reforestation,"North Bandai Bamboo Reforestation Project, Ghana","EcoPlanet Bamboo Group, LLC",0.0,0.0,VCS2928,https://registry.verra.org/app/projectDetail/VCS/2928
United States,Ghana,Afforestation + Reforestation,"Bandai Hills Bamboo Reforestation Project, Ghana","EcoPlanet Bamboo Group, LLC",0.0,0.0,VCS2929,https://registry.verra.org/app/projectDetail/VCS/2929
Australia,Uganda,Improved Forest Management,The NFC Uganda Carbon Landscapes Project,New Forests Company Holdings I Limited,0.0,0.0,VCS2881,https://registry.verra.org/app/projectDetail/VCS/2881
European Union,Zambia,REDD+,Integrated REDD+ Project in Zambia,Kanaka Management Services Private Limited,0.0,0.0,VCS2857,https://registry.verra.org/app/projectDetail/VCS/2857
Local/Unknown,Senegal,Wetland,"Mangrove Restoration Project with Sine Saloum and Casamance communities, Senegal",WeForest,0.0,0.0,VCS2834,https://registry.verra.org/app/projectDetail/VCS/2834
Local/Unknown,Zambia,Afforestation + Reforestation,Tombwe Smallholder Reforestation Project,Tombwe Processing Limited,0.0,0.0,VCS2619,https://registry.verra.org/app/projectDetail/VCS/2619
Local/Unknown,Zambia,REDD+,COMACO Landscape Management Project - West,Community Markets for Conservation (COMACO),0.0,0.0,VCS2618,https://registry.verra.org/app/projectDetail/VCS/2618
Local/Unknown,Mozambique,Sustainable Agriculture,Agri-SMART: Sustaining a resilient and inclusive development in Zambezia,Carbon Sink Group s.r.l.,0.0,0.0,VCS2485,https://registry.verra.org/app/projectDetail/VCS/2485
United States,Senegal,REDD+,SENEGAL AND WEST AFRICA MANGROVE PROGRAMME (SWAMP),ALLCOT A.G.,0.0,0.0,VCS2406,https://registry.verra.org/app/projectDetail/VCS/2406
United States,Senegal,REDD+,Niokolo Koba REDD+ Project,ALLCOT A.G.,0.0,0.0,VCS2407,https://registry.verra.org/app/projectDetail/VCS/2407
Local/Unknown,Niger,Afforestation + Reforestation,Niger Acacia Senegal Plantation Project,Achats Service International,0.0,0.0,VCS2382,https://registry.verra.org/app/projectDetail/VCS/2382
United Kingdom,Kenya,REDD+,CONSERVATION OF MIOMBOS IN TARU  KENYA REDD+,Swiss carbon Value Ltd.,0.0,0.0,VCS2363,https://registry.verra.org/app/projectDetail/VCS/2363
United Kingdom,DR Congo,REDD+,National REDD+ Project in the Democratic Republic of Congo,Kanaka Management Services Pvt. Ltd,0.0,0.0,VCS2320,https://registry.verra.org/app/projectDetail/VCS/2320
Local/Unknown,South Africa,Afforestation + Reforestation,Renencom Afforestation/Reforestation Grouped Project,Renencom,0.0,0.0,VCS1339,https://registry.verra.org/app/projectDetail/VCS/1339
Multiple (mixed),Mali,Afforestation + Reforestation,Jatropha Curcas grouped project in Mali,Multiple Proponents,0.0,0.0,VCS829,https://registry.verra.org/app/projectDetail/VCS/829
Local/Unknown,Madagascar,Afforestation + Reforestation,Reforestation of deforested land in Madagascar,EcoFormation,0.0,0.0,VCS1327,https://registry.verra.org/app/projectDetail/VCS/1327
Multiple (mixed),Senegal,Wetland,The Haidar EL ALI Mangrove Initiative (HEAMI),Multiple Proponents,0.0,0.0,VCS1760,https://registry.verra.org/app/projectDetail/VCS/1760
Local/Unknown,Madagascar,REDD+,Beampingaratsy REDD Project,BNC REDD+,0.0,0.0,VCS1743,https://registry.verra.org/app/projectDetail/VCS/1743
Multiple (mixed),South Africa,Afforestation + Reforestation,Peri-urban bamboo planting around South African townships,Multiple Proponents,0.0,0.0,VCS721,https://registry.verra.org/app/projectDetail/VCS/721
Local/Unknown,Malawi,Afforestation + Reforestation,Fuelling a greener future for farmers in Malawi through the use of Jatropha curcas,Bio Energy Resources Limited (BERL),0.0,0.0,VCS898,https://registry.verra.org/app/projectDetail/VCS/898
European Union,Mozambique,REDD+,Gilé National Reserve REDD Project,National Mozambican Public Agency for Parks and Reserves Conservation (ANAC),0.0,0.0,VCS1674,https://registry.verra.org/app/projectDetail/VCS/1674
Local/Unknown,Zambia,REDD+,Musokotwane REDD+ Project,Zambruss Enterprises,0.0,0.0,VCS1672,https://registry.verra.org/app/projectDetail/VCS/1672
United Kingdom,South Africa,Afforestation + Reforestation,Kuzuko Lodge Private Game Reserve thicket restoration project,Spekboom Trading (Pty) Ltd,0.0,0.0,VCS1343,https://registry.verra.org/app/projectDetail/VCS/1343
European Union,Madagascar,REDD+,"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar","Govt. of Madagascar, Direction Generale des Forets",0.0,0.0,VCS1047,https://registry.verra.org/app/projectDetail/VCS/1047
Multiple (mixed),Tanzania,REDD+,HIMA (Hifadhi ya Misitu ya Asili ya jamii) REDD+ Program,Multiple Proponents,0.0,0.0,VCS1381,https://registry.verra.org/app/projectDetail/VCS/1381
Local/Unknown,Ethiopia,Afforestation + Reforestation,"East African Afforestation, Reforestation and Revegetation Program",Horn of Africa Regional Environment Center and Network (HoA-REC&N),0.0,0.0,VCS1443,https://registry.verra.org/app/projectDetail/VCS/1443
Local/Unknown,South Africa,Afforestation + Reforestation,Tree Planting in South African townships,Food and Trees for Africa (FTFA),0.0,0.0,VCS720,https://registry.verra.org/app/projectDetail/VCS/720
Local/Unknown,Madagascar,REDD+,failed,MER,0.0,0.0,VCS2177,https://registry.verra.org/app/projectDetail/VCS/2177
Local/Unknown,Burkina Faso,REDD+,Burkina Faso REDD+ Program,Permanent Secretariat for REDD+,0.0,0.0,ART121,https://art.apx.com/mymodule/reg/prjView.asp?id1=121
Local/Unknown,DR Congo,REDD+,DRC Province of Tshuapa,"Ministry of Environment, Sustainable Development and the New Climate Economy DRC",0.0,0.0,ART112,https://art.apx.com/mymodule/reg/prjView.asp?id1=112
Local/Unknown,Ethiopia,REDD+,Ethiopia,Ethiopian Forestry Development,0.0,0.0,ART116,https://art.apx.com/mymodule/reg/prjView.asp?id1=116
Local/Unknown,Gabon,REDD+,Gabon,Conseil National Climat (CNC - National Climate Council),0.0,0.0,ART114,https://art.apx.com/mymodule/reg/prjView.asp?id1=114
Local/Unknown,Ghana,REDD+,Ghana,Forestry Commission of Ghana,0.0,0.0,ART106,https://art.apx.com/mymodule/reg/prjView.asp?id1=106
Local/Unknown,Uganda,REDD+,Uganda,Ministry of Water and Environment,0.0,0.0,ART118,https://art.apx.com/mymodule/reg/prjView.asp?id1=118
Local/Unknown,DR Congo,Afforestation + Reforestation,Miombo Renewal,Carbon Ventures Africa,0.0,0.0,ISOGG0F,https://to.isometric.com/prj_1K9A90ZPH1S0ZJ9S
Local/Unknown,Ethiopia,Afforestation + Reforestation,Duguna Fango and Damot Weyde Assisted Farmer Managed Natural Regeneration for Sustainable Land Management and Livelihood Improvement Project,World Vision Korea,0.0,0.0,GLD23253,https://registry.goldstandard.org/projects?q=gs23253
Local/Unknown,Uganda,Afforestation + Reforestation,Restore Africa: Restoring Landscapes and Livelihoods in Eastern Uganda ,Global Evergreening Alliance,0.0,0.0,GLD13099,https://registry.goldstandard.org/projects?q=gs13099
Local/Unknown,Benin,Afforestation + Reforestation,GS23192 VPA-2 Building Climate Resilience through Afforestation Reforestation & Agroforestry Benin,ERDA ILLUMINE LOW CARBON SOLUTIONS PRIVATE LIMITED,0.0,0.0,GLD23196,https://registry.goldstandard.org/projects?q=gs23196
Local/Unknown,Benin,Afforestation + Reforestation,PoA Sustainable Landscapes and Forests Initiatives,ERDA ILLUMINE LOW CARBON SOLUTIONS PRIVATE LIMITED,0.0,0.0,GLD23192,https://registry.goldstandard.org/projects?q=gs23192
European Union,Ethiopia,Afforestation + Reforestation,Sustainable Forestry in Gambella Ethiopia,EcoNetix GmbH,0.0,0.0,GLD13001,https://registry.goldstandard.org/projects?q=gs13001
Local/Unknown,DR Congo,Afforestation + Reforestation,Idiofa Lobi,CO2logic,0.0,0.0,GLD12447,https://registry.goldstandard.org/projects?q=gs12447
United Kingdom,South Africa,Afforestation + Reforestation,New Beginnings Afforestation project ,INITIIS NOVIS (PTY) LTD T/A New Beginnings,0.0,0.0,GLD12938,https://registry.goldstandard.org/projects?q=gs12938
United Kingdom,South Africa,Afforestation + Reforestation,New Beginnings,INITIIS NOVIS (PTY) LTD T/A New Beginnings,0.0,0.0,GLD12614,https://registry.goldstandard.org/projects?q=gs12614
Switzerland,Guinea,Afforestation + Reforestation,ArboRise Participative Reforestation in  Upper Guinea,South Pole Ltd,0.0,0.0,GLD12203,https://registry.goldstandard.org/projects?q=gs12203
European Union,Uganda,Afforestation + Reforestation,Bulindi Agroforestry and Chimpanzee  Conservation Project,DutchGreen Project Management B.V.,0.0,0.0,GLD12226,https://registry.goldstandard.org/projects?q=gs12226
Local/Unknown,Ghana,Afforestation + Reforestation,Sankofa plantation in Ghana by Alliances for Action,GS Delta Orphan Account,0.0,0.0,GLD11569,https://registry.goldstandard.org/projects?q=gs11569
Local/Unknown,DR Congo,Afforestation + Reforestation,N'situ pelende by Colruyt group,Colruyt group NV,0.0,0.0,GLD12214,https://registry.goldstandard.org/projects?q=gs12214
European Union,South Africa,Afforestation + Reforestation,TERRAGRN – Land Regeneration through Agroforestry in Mpumalanga South Africa - VPA 01,TERRAGRN PRIVATE LIMITED,0.0,0.0,GLD12095,https://registry.goldstandard.org/projects?q=gs12095
European Union,South Africa,Afforestation + Reforestation,TERRAGRN – Land Regeneration through Agroforestry in Mpumalanga South Africa,TERRAGRN PRIVATE LIMITED,0.0,0.0,GLD12094,https://registry.goldstandard.org/projects?q=gs12094
Local/Unknown,Ethiopia,Afforestation + Reforestation,Small scale community-based afforestation program in Ethiopia – Konea,Stiftung Menschen für Menschen,0.0,0.0,GLD11856,https://registry.goldstandard.org/projects?q=gs11856
Local/Unknown,Ethiopia,Afforestation + Reforestation,Small scale community-based afforestation program in Ethiopia,Deactivated Projects,0.0,0.0,GLD11798,https://registry.goldstandard.org/projects?q=gs11798
Local/Unknown,Mali,Afforestation + Reforestation,ZANBAL ,Zanbal,0.0,0.0,GLD4731,https://registry.goldstandard.org/projects?q=gs4731
Switzerland,Kenya,Afforestation + Reforestation,Lake Naivasha Basin Reforestation Project,South Pole Ltd SCV,0.0,0.0,GLD6504,https://registry.goldstandard.org/projects?q=gs6504
